x,Curve1
-1.9976,-0.198495
-0.9891,-0.098884
0.0076,0.000124
0.9685,0.100948
2.8549,0.290514
3.9585,0.398576
6.2244,0.630405

x,Curve2
-2.2497,-0.151955
-1.3954,-0.069249
-0.3633,0.037611
1.2506,0.193364
2.508,0.324977
4.0981,0.479524
5.5929,0.633473
6.0204,0.667879
6.6142,0.711938
7.006,0.745138
7.9691,0.79219
8.552,0.813292
9.3733,0.830146
10.326,0.840949
11.1356,0.852972
11.7905,0.862589

x,Curve3
-2.8576,-0.145868
-1.6711,-0.026332
-0.2916,0.109429
-0.0656,0.130511
0.5122,0.187982
1.7579,0.314159
2.703,0.408428
2.9481,0.427591
3.2683,0.459215
3.4944,0.479338
4.2854,0.559839
4.5115,0.579962
5.3971,0.660456
5.661,0.679617
6.4109,0.731287
6.8148,0.759048
7.54,0.796451
8.218,0.822984
8.8365,0.848312
9.6456,0.872417
10.693,0.897713

x,Curve4
-5.6907,-0.203654
-2.9748,0.097016
-1.2194,0.2878
0.1327,0.435719
1.3066,0.57036
1.7334,0.619869
1.9714,0.628309
2.5182,0.656664
3.1727,0.675948
3.625,0.686789
3.9693,0.715763
4.6936,0.773104
5.3231,0.819577
6.0835,0.872082
6.5704,0.909504
7.3307,0.962009
8.9351,1.056742

x,Curve5
-6.2411,-0.145612
-3.4667,0.179824
-2.7317,0.26979
-0.8456,0.469022
0.2694,0.58675
1.824,0.735258
2.2873,0.767848
2.8696,0.802846
3.3929,0.826369
3.9755,0.854116
4.4748,0.880662
4.9978,0.909018
5.6516,0.944011
6.0437,0.96996
6.4358,0.995306
7.018,1.03272
7.3149,1.05626
7.79,1.092474
8.2415,1.120232
8.7291,1.141945
9.6565,1.186583

x,Curve6
-8.2649,-0.181105
-7.2679,-0.091764
-6.7226,-0.025346
-5.4781,0.131643
-4.2928,0.279574
-3.0838,0.42992
-2.266,0.534379
-1.2816,0.640638
-0.6055,0.714296
-0.0716,0.768026
0.8187,0.847105
1.6021,0.915921
2.4572,0.981106
